광역시도,시군구,행정구,구분,합계,15세미만,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
대구, 남구,,남자,67453,5737,2627,4129,5339,4323,4553,4378,5575,5694,6004,5903,4456,3403,2854,1658,820
대구, 남구,,여자,73563,5241,2667,4928,4954,3712,4465,4327,5568,5932,6882,6859,5404,4419,3926,2637,1642
대구, 북구,,계,425333,55200,23033,29819,28606,24044,30578,32200,40431,39026,36583,28821,19615,14424,12193,7052,3708
대구, 북구,,남자,210525,28384,11727,14635,15827,12807,15376,15791,19710,19338,18152,14342,9277,6388,5016,2688,1067
대구, 북구,,여자,214808,26816,11306,15184,12779,11237,15202,16409,20721,19688,18431,14479,10338,8036,7177,4364,2641
대구, 수성구,,계,405234,53488,26508,23166,23337,17579,24705,31152,41735,39297,34867,28596,20082,14895,12629,8237,4961
대구, 수성구,,남자,195256,27760,14094,11181,12422,9078,11326,13967,19247,19140,17071,13786,9349,6668,5371,3189,1607
대구, 수성구,,여자,209978,25728,12414,11985,10915,8501,13379,17185,22488,20157,17796,14810,10733,8227,7258,5048,3354
대구, 달서구,,계,549980,68405,29858,35447,37813,30671,38150,40471,50980,53022,51827,40596,26870,18087,14223,8842,4718
대구, 달서구,,남자,269246,35249,15132,16840,20278,16349,18909,19594,24420,25326,25299,20083,12810,8426,5908,3215,1408
대구, 달서구,,여자,280734,33156,14726,18607,17535,14322,19241,20877,26560,27696,26528,20513,14060,9661,8315,5627,3310
대구, 달성군,,계,243000,41710,9949,11029,14888,18181,24164,20681,20093,19429,19397,15573,10120,6924,5372,3513,1977
대구, 달성군,,남자,122037,21306,5233,5578,7943,9396,12333,10848,10339,9429,9633,7738,4952,3317,2167,1246,579
대구, 달성군,,여자,120963,20404,4716,5451,6945,8785,11831,9833,9754,10000,9764,7835,5168,3607,3205,2267,1398
인천,소계,,계,2799553,367306,133389,154888,203576,180966,227769,219670,250290,248672,251499,202461,122894,93462,70395,44432,27884
인천,소계,,남자,1386986,188485,67577,71784,105443,92999,116275,112100,125846,121691,125779,100474,59894,43923,30159,16597,7960
인천,소계,,여자,1412567,178821,65812,83104,98133,87967,111494,107570,124444,126981,125720,101987,63000,49539,40236,27835,19924
인천, 중구,,계,123549,17498,4996,6010,9943,8617,10997,10812,11110,9347,8776,8267,5622,4756,3478,2027,1293
인천, 중구,,남자,63147,9034,2586,2495,5352,4618,5838,5789,6138,5070,4529,4064,2696,2179,1580,801,378
인천, 중구,,여자,60402,8464,2410,3515,4591,3999,5159,5023,4972,4277,4247,4203,2926,2577,1898,1226,915
인천, 동구,,계,60791,6708,2561,2834,3197,3052,4443,4697,5127,4787,5175,5352,3919,3458,2768,1688,1025
인천, 동구,,남자,30224,3478,1307,1343,1721,1594,2319,2566,2724,2506,2612,2584,1828,1544,1196,623,279
인천, 동구,,여자,30567,3230,1254,1491,1476,1458,2124,2131,2403,2281,2563,2768,2091,1914,1572,1065,746
인천, 연수구,,계,345349,54541,18506,18692,24285,23011,29494,29232,33341,30753,29861,21209,11326,8089,6151,4045,2813
인천, 연수구,,남자,170243,27897,9406,8534,12468,11410,14325,14372,16275,14926,15169,11015,5795,3813,2622,1421,795
인천, 연수구,,여자,175106,26644,9100,10158,11817,11601,15169,14860,17066,15827,14692,10194,5531,4276,3529,2624,2018
인천, 남동구,,계,508503,69286,24343,27328,36651,32453,42811,41702,45651,44411,44824,36304,22526,16493,12010,7179,4531
인천, 남동구,,남자,250015,35488,12214,12492,18768,16638,21635,21220,22879,21459,22133,17580,10797,7784,5034,2680,1214
인천, 남동구,,여자,258488,33798,12129,14836,17883,15815,21176,20482,22772,22952,22691,18724,11729,8709,6976,4499,3317
인천, 부평구,,계,487471,56517,22784,27565,37663,32753,38248,35650,42549,44860,46097,37334,22664,16830,12807,8214,4936
인천, 부평구,,남자,238604,29018,11482,12647,19049,16794,19602,18030,20974,21367,22835,18232,10900,7841,5443,2944,1446
인천, 부평구,,여자,248867,27499,11302,14918,18614,15959,18646,17620,21575,23493,23262,19102,11764,8989,7364,5270,3490
인천, 계양구,,계,288422,32740,14585,17894,22831,17956,20720,20436,26115,29502,31059,21950,11581,8136,6287,4145,2485
인천, 계양구,,남자,141983,16708,7358,8210,11728,9277,10534,10257,12710,13977,15468,11343,5886,3834,2536,1459,698
인천, 계양구,,여자,146439,16032,7227,9684,11103,8679,10186,10179,13405,15525,15591,10607,5695,4302,3751,2686,1787
