상호명,지점명,도로명주소,경도,위도,광역시도,시군구,ID,브랜드명,빽다방 매장수
빽다방,파주운정산내점,경기도 파주시 청암로17번길 25,126.73531053898998,37.729085807808296,경기도,파주시,파주,빽다방,1
빽다방,,경기도 군포시 산본로323번길 16-7,126.931739116387,37.3592149725256,경기도,군포시,군포,빽다방,1
빽다방부천약대점,부천약대점,경기도 부천시 평천로 718,126.77068501284701,37.5149369786474,경기도,부천시,부천,빽다방,1
빽다방,고양원흥역점,경기도 고양시 덕양구 삼송로 12,126.875522886086,37.6495595307778,경기도,덕양구,덕양,빽다방,1
빽다방,분당서현교보점,경기도 성남시 분당구 분당로53번길 9,127.12133335941002,37.383915062008704,경기도,분당구,분당,빽다방,1
빽다방안양남부시장점,안양남부시장점,경기도 안양시 만안구 안양로 259,126.92360874947599,37.3957515511957,경기도,만안구,만안,빽다방,1
빽다방,김포구래점,경기도 김포시 김포한강9로 80,126.626045880372,37.6442505958484,경기도,김포시,김포,빽다방,1
빽다방고양삼송신원점,고양삼송신원점,경기도 고양시 덕양구 신원로 40-46,126.889416531587,37.6639813507772,경기도,덕양구,덕양,빽다방,1
빽다방,문산시장점,경기도 파주시 문산읍 문산로 37,126.78329120383002,37.8574506804124,경기도,파주시,파주,빽다방,1
더본코리아_빽다방분당미금역,천사점,경기도 성남시 분당구 성남대로 165,127.108299453743,37.350756869622295,경기도,분당구,분당,빽다방,1
더본코리아_빽다방상현역,광교점,경기도 용인시 수지구 광교중앙로 310,127.069731159849,37.297665341683896,경기도,수지구,수지,빽다방,1
더본코리아_빽다방군포당정역,은하점,경기도 군포시 고산로 248,126.94485652964799,37.3462852108419,경기도,군포시,군포,빽다방,1
더본코리아_빽다방동탄,은행사거리점,경기도 화성시 동탄지성로 121,127.061867369068,37.2087463796896,경기도,화성시,화성,빽다방,1
빽다방평택로데오,,경기도 평택시 평택2로10번길 34,127.089386025067,36.9919717136766,경기도,평택시,평택,빽다방,1
빽다방,명학역점,경기도 안양시 만안구 안양로 110,126.933792675855,37.3848057829689,경기도,만안구,만안,빽다방,1
빽다방,고양원당중앙점,경기도 고양시 덕양구 호국로 809,126.837496419212,37.658029900064,경기도,덕양구,덕양,빽다방,1
빽다방,일산주엽역점,경기도 고양시 일산서구 강성로 121,126.76212591762699,37.670561897444,경기도,일산서구,일산서,빽다방,1
