상호명,지점명,도로명주소,경도,위도,광역시도,시군구,ID,브랜드명,커피빈 매장수
커피빈코리아역삼역4,,서울특별시 강남구 테헤란로 143,127.034884401544,37.50064077948029,서울특별시,강남구,서울 강남,커피빈,1
커피빈코리아압구정로데오,,서울특별시 강남구 선릉로157길 12,127.03899126085301,37.5261110066291,서울특별시,강남구,서울 강남,커피빈,1
커피빈,코리아대학로마로니에점,서울특별시 종로구 대학로12길 62,127.00369276133999,37.5813949682234,서울특별시,종로구,서울 종로,커피빈,1
커피빈코리아올림픽공원북,,서울특별시 강동구 강동대로 195,127.12825279632901,37.5243797641886,서울특별시,강동구,서울 강동,커피빈,1
커피빈코리아상암동SBS,,서울특별시 마포구 상암산로 82,126.892752778902,37.57970364147779,서울특별시,마포구,서울 마포,커피빈,1
커피빈코리아압구정에스점,코리아압구정에스점,서울특별시 강남구 압구정로46길 3,127.036893070846,37.5282744591627,서울특별시,강남구,서울 강남,커피빈,1
커피빈코리아올림픽공원,,서울특별시 송파구 올림픽로 424,127.115776502358,37.5203493948844,서울특별시,송파구,서울 송파,커피빈,1
커피빈,타임스퀘어B1점,서울특별시 영등포구 영중로 15,126.903914224263,37.517212666105706,서울특별시,영등포구,서울 영등포,커피빈,1
커피빈코리아여의도교보증,,서울특별시 영등포구 의사당대로 97,126.92457332308099,37.5225024956653,서울특별시,영등포구,서울 영등포,커피빈,1
커피빈,코리아남대문점,서울특별시 중구 후암로 110,126.974027761069,37.554289834272105,서울특별시,중구,서울 중구,커피빈,1
커피빈코리아논현동팍스타워,,서울특별시 강남구 언주로 609,127.036664991663,37.509936177251,서울특별시,강남구,서울 강남,커피빈,1
커피빈코리아여의도순복음교회옆점,코리아여의도순복음교회옆점,서울특별시 영등포구 여의서로 43,126.92473649335501,37.5308386325503,서울특별시,영등포구,서울 영등포,커피빈,1
