상호명,지점명,도로명주소,경도,위도,광역시도,시군구,ID,브랜드명,이디야 매장수
이디아커피동두천중앙역점중앙역점,중앙역점,경기도 동두천시 중앙로 278,127.054355622307,37.9062150214914,경기도,동두천시,동두천,이디야,1
이디야커피,평촌점,경기도 안양시 동안구 관평로182번길 54,126.963253581826,37.393853140653206,경기도,동안구,안양 동안,이디야,1
이디야커피,교하점,경기도 파주시 청석로 260,126.71771671564899,37.7250935235583,경기도,파주시,파주,이디야,1
이디야커피,남양주사능점,경기도 남양주시 진건읍 진건오남로 90,127.178332190798,37.6587160290667,경기도,남양주시,남양주,이디야,1
이디야커피성빈센트병원,,경기도 수원시 팔달구 중부대로 93,127.027440166173,37.2779159718294,경기도,팔달구,수원 팔달,이디야,1
이디야커피,이마트고잔점,경기도 안산시 단원구 원포공원1로 46,126.812841950909,37.3031525784688,경기도,단원구,안산 단원,이디야,1
이디야커피,,경기도 성남시 분당구 정자일로 248,127.10769978788099,37.375667230653896,경기도,분당구,성남 분당,이디야,1
이디야커피,,경기도 수원시 영통구 영통로 107,127.057644079309,37.237611079546205,경기도,영통구,수원 영통,이디야,1
이디아커피,,경기도 용인시 수지구 동천로 24,127.100163444394,37.3411257615002,경기도,수지구,용인 수지,이디야,1
이디야커피,,경기도 포천시 소흘읍 솔모루로81번길 23,127.146227133075,37.8302956451889,경기도,포천시,포천,이디야,1
이디야커피선부중앙점,선부중앙점,경기도 안산시 단원구 선부로 191,126.81627310893299,37.3418606428783,경기도,단원구,안산 단원,이디야,1
이디야커피아주대점,아주대점,경기도 수원시 영통구 월드컵로 206,127.043490027178,37.2829666920919,경기도,영통구,수원 영통,이디야,1
이디아미금중앙점,미금중앙점,경기도 성남시 분당구 돌마로 47,127.10718649439899,37.350379031134096,경기도,분당구,성남 분당,이디야,1
이디야커피,,경기도 성남시 분당구 성남대로172번길 24,127.111492283445,37.3508800128896,경기도,분당구,성남 분당,이디야,1
이디야커피,이마트서수원점,경기도 수원시 권선구 수인로 291,126.970137925629,37.2826215528165,경기도,권선구,수원 권선,이디야,1
이디아커피,,경기도 고양시 일산동구 일산로 46,126.78786213750601,37.6423481921858,170737,경기도,경기,이디야,1
이디야커피송내남부역점,송내남부역점,경기도 부천시 송내대로 31,126.75277996749901,37.4863126559242,경기도,부천시,부천,이디야,1
